step,train_loss,train_plus_loss,train_raw_plus_loss,train_target_vq_ce_loss,train_projector_recon_loss,train_symmetry_loss,train_commit_loss,train_code_accuracy,train_number_accuracy,train_count,eval_loss,eval_plus_loss,eval_raw_plus_loss,eval_target_vq_ce_loss,eval_projector_recon_loss,eval_symmetry_loss,eval_commit_loss,eval_code_accuracy,eval_number_accuracy,eval_count
1001,1.4902578194936116,7.142617586887244,0.0,1.4902578194936116,0.0,0.0,0.0,0.48917748917748916,0.5367965367965368,231,1.5328677402430282,6.641535822963302,0.0,1.5328677402430282,0.0,0.0,0.0,0.47619047619047616,0.5367965367965368,231
1500,1.312616821491357,5.996970734038911,0.0,1.312616821491357,0.0,0.0,0.0,0.5238095238095238,0.5757575757575758,231,1.3656716640893516,6.464577998949852,0.0,1.3656716640893516,0.0,0.0,0.0,0.4805194805194805,0.5497835497835498,231
1501,1.3366652211069545,5.106069582365292,0.0,1.3366652211069545,0.0,0.0,0.0,0.5108225108225108,0.5800865800865801,231,1.3610532454081945,6.09446077429371,0.0,1.3610532454081945,0.0,0.0,0.0,0.47186147186147187,0.5411255411255411,231
2000,1.232058807884976,4.802626345580791,0.0,1.232058807884976,0.0,0.0,0.0,0.5497835497835498,0.5974025974025974,231,1.2961218377728483,5.157220877610244,0.0,1.2961218377728483,0.0,0.0,0.0,0.49783549783549785,0.5627705627705628,231
2500,1.1775844035210548,4.156047859233179,0.0,1.1775844035210548,0.0,0.0,0.0,0.5151515151515151,0.5454545454545454,231,1.2438147986606085,4.234041910666924,0.0,1.2438147986606085,0.0,0.0,0.0,0.49783549783549785,0.5324675324675324,231
3000,1.1213161666671951,3.2380177417358795,0.0,1.1213161666671951,0.0,0.0,0.0,0.5930735930735931,0.6493506493506493,231,1.1532323350121965,3.537953349935028,0.0,1.1532323350121965,0.0,0.0,0.0,0.5454545454545454,0.6233766233766234,231
3500,1.132785496773658,2.870088237704653,0.0,1.132785496773658,0.0,0.0,0.0,0.5757575757575758,0.6320346320346321,231,1.0707367720542016,3.1475651429329083,0.0,1.0707367720542016,0.0,0.0,0.0,0.5757575757575758,0.6277056277056277,231
4000,1.0768276556229694,3.3748195883515595,0.0,1.0768276556229694,0.0,0.0,0.0,0.5497835497835498,0.6363636363636364,231,1.0970584628901956,3.35669316873922,0.0,1.0970584628901956,0.0,0.0,0.0,0.5670995670995671,0.6147186147186147,231
4500,1.125932064149287,3.020808011422426,0.0,1.125932064149287,0.0,0.0,0.0,0.5584415584415584,0.6536796536796536,231,1.0453772085569637,3.658826939471356,0.0,1.0453772085569637,0.0,0.0,0.0,0.5454545454545454,0.6233766233766234,231
5000,1.0346295578139169,3.054092097592044,0.0,1.0346295578139169,0.0,0.0,0.0,0.5974025974025974,0.70995670995671,231,1.0662303523067789,3.4944287481762113,0.0,1.0662303523067789,0.0,0.0,0.0,0.5627705627705628,0.6796536796536796,231
